bus_name,x_coordinate,y_coordinate,de_lat,de_lon,real_lat,real_lon
bus_050,1842,-356,53.6852941,9.6661767,,
bus_051,1790,-284,53.6852941,9.6661767,,
bus_052,1842,-260,53.4880793,9.1561159,,
bus_053,1894,-260,53.5507017,8.6024444,,
bus_054,1946,-212,53.7203293,8.6614832,38.343778,-121.118573
bus_055,2118,-244,54.0607976,8.9324212,38.652632,-121.393078
bus_056,1946,-372,53.8988757,9.1753916,38.834069,-120.531701
bus_057,1894,-356,53.760707,9.446,,
bus_058,1894,-308,53.7982989,9.4307509,,
bus_059,2140,-450,53.9674186,9.5973189,40.723905,-122.418496
bus_060,2066,-516,54.0787299,9.9860624,,
bus_061,2066,-612,53.9690621,10.4635925,40.71745,-122.422049
bus_062,1946,-548,54.049762,10.2534021,40.712799,-122.406685
bus_063,1998,-692,53.9674186,9.5973189,,
bus_064,1946,-668,53.9690621,10.4635925,,
bus_065,1774,-644,53.5995033,10.1261488,39.365958,-122.269787
bus_066,1842,-564,53.5995033,10.1261488,38.338497,-121.123583
bus_067,1894,-516,53.818825,10.2492,,
bus_068,1674,-692,53.4667348,10.4895,,
bus_069,1606,-636,53.4667348,10.4895,,
bus_070,874,-628,52.8927773,10.8752,38.060462,-122.219246
bus_071,726,-628,52.8448199,10.6728773,,
bus_072,674,-628,52.7751408,10.5411,38.057121,-122.215582
bus_073,778,-612,52.9060908,10.461,,
bus_074,974,-660,52.8927773,10.8752,37.424446,-121.928163
bus_075,1026,-644,52.9534828,11.2095,,
bus_076,1388,-794,53.1940101,11.04104,40.733176,-122.415729
bus_077,1500,-742,53.189049,11.3791,40.725284,-122.413467
bus_078,1580,-794,53.4124826,11.1017,,
bus_079,1580,-846,53.6,10.8471,,
bus_080,1620,-898,53.7,11.3732603,40.720737,-122.422782
bus_081,1724,-830,53.7,11.3732603,,
bus_082,1420,-1160,53.1987855,12.0,32.759791,-116.049374
bus_083,1388,-1316,52.9981226,12.0104,,
bus_084,1372,-1420,52.9981226,12.0104,,
bus_085,1326,-1494,52.9405948,12.3914498,33.126628,-117.091922
bus_086,1274,-1478,52.924601,12.634128,,
bus_087,1222,-1478,52.9084666,12.7926949,33.936541,-116.572586
bus_088,1426,-1510,53.1476609,12.4575223,,
bus_089,1478,-1558,53.1971473,13.1920365,33.937196,-116.577821
bus_090,1578,-1606,53.1971473,13.1920365,32.573782,-116.917833
bus_091,1630,-1590,53.56,12.666644,33.123059,-117.090821
bus_092,1604,-1420,53.56,12.666644,33.963274,-117.452953
bus_093,1564,-1316,53.4922708,12.2430226,,
bus_094,1556,-1264,53.5498867,12.0936153,,
bus_095,1564,-1212,53.4266968,12.0788,,
bus_096,1540,-1160,53.3338041,11.9039,,
bus_097,1548,-950,53.4748815,11.6184,,
bus_098,1676,-950,53.7040789,11.8287,,
bus_099,1740,-950,53.7428245,11.9966,40.70771,-122.410634
bus_100,1724,-1264,53.7686548,12.287055,33.118654,-117.099236
bus_101,1644,-1316,53.6573854,12.5321,,
bus_102,1644,-1368,53.5613154,12.512,,
bus_103,1812,-1572,53.7609057,12.5810097,32.575972,-116.922156
bus_104,1828,-1480,54.0497212,12.5405391,33.573919,-114.692027
bus_105,1900,-1420,54.0497212,12.5405391,33.724722,-115.280556
bus_106,1834,-1354,54.0929181,12.1306187,,
bus_107,1998,-1354,54.3377877,12.6930745,33.941186,-116.575205
bus_108,1948,-1480,54.0,12.7612401,,
bus_109,1948,-1572,53.98782,13.0304214,,
bus_110,1916,-1632,54.0522274,13.2439072,33.724323,-115.28603
bus_111,1884,-1704,53.5937299,13.1986501,33.124302,-117.094519
bus_112,1948,-1704,54.366318,13.4431491,32.686154,-115.647196
bus_113,622,-468,52.2660314,9.7162,37.220759,-121.745992
bus_114,414,-516,52.274939,10.514143,,
bus_115,362,-516,52.274939,10.514143,,
bus_116,1842,-708,53.1940101,11.04104,40.715073,-122.433505
bus_117,782,-196,52.5029327,8.3403777,,
bus_118,1356,-742,53.0691304,11.204,,
